request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,requested_amount=22352 ZAR; amount_safe_to_pay=22352 ZAR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69; minimum_balance_to_keep=11200 ZAR; spending_changes_needed=none; earliest_date_for_full_payment=2025-08-06.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"The requested amount is 16,625,000 IDR, and the amount safe to pay is also 16,625,000 IDR, so the affordability status is affordable now. The recommended payment method is full payment, with a payment plan of 16,625,000 IDR on 2026-04-03, the earliest date for full payment is 2026-04-03, no spending changes are needed, and the minimum balance to keep is 23,022,800 IDR."
request_112,0,not_affordable,not_recommended,none,,none,"The requested amount is 271.70 EUR, but the amount safe to pay is 0 EUR, so the affordability status is not affordable; the recommended payment method is not recommended, the payment plan is none, the minimum balance to keep is 500 EUR, and no spending changes are needed."
request_113,5735.93,affordable_later,wait,2026-11-16:36500,2026-11-16,none,"The requested amount is 36500 INR, the amount safe to pay is 5735.93 INR, and the affordability status is affordable_later, so the recommended payment method is wait. The payment plan is 2026-11-16:36500, the minimum balance to keep is 82300 INR, no spending changes are needed, and the earliest date for full payment is 2026-11-16."
request_114,0,not_affordable,not_recommended,none,,none,"The requested amount is 65300 INR, but the amount safe to pay is 0 INR, so the affordability_status is not_affordable. The recommended_payment_method is not_recommended, with payment_plan none, minimum_balance_to_keep of 113400 INR, and spending_changes_needed none."
request_115,14552.20,affordable_later,wait,2024-11-19:80500,2024-11-19,none,"The requested amount is 80500 INR, but only 14552.20 INR is safe to pay now; the affordability status is affordable later, so the recommended payment method is to wait, with a payment plan of 80500 INR on 2024-11-19, which is also the earliest date for full payment, while keeping a minimum balance of 38800 INR and making no spending changes."
request_116,7550.39,not_affordable,not_recommended,none,,none,"You requested 241200 INR, but only 7550.39 INR is safe to pay, so the affordability status is not affordable; the recommended payment method is not recommended, there is no payment plan, you need to keep a minimum balance of 80300 INR, and no spending changes are needed."
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-18,reduce_to:event_10878:20.50|stop:event_10833,requested_amount=880 EUR; amount_safe_to_pay=848.69 EUR; affordability_status=affordable_with_plan; recommended_payment_method=full_payment; payment_plan=2026-07-05:880; minimum_balance_to_keep=1000 EUR; spending_changes_needed=reduce_to:event_10878:20.50|stop:event_10833; earliest_date_for_full_payment=2026-07-18.
request_118,738.10,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"The requested amount and amount safe to pay are both 738.10 EUR, with an affordability status of affordable_with_plan. The recommended payment method is installments, using a payment plan of 255.87 EUR on 2024-12-07, 255.87 EUR on 2025-01-07, and 255.87 EUR on 2025-02-07, while keeping a minimum balance of 600 EUR; no spending changes are needed, and the earliest date for full payment is 2024-12-07."
request_119,0,not_affordable,not_recommended,none,,none,"You requested 203500 INR, but 0 INR is safe to pay, so it is not affordable; no payment method is recommended and no payment plan is available. You need to keep a minimum balance of 151200 INR, and no spending changes are needed."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"The requested amount is 7,714,000 IDR and 7,714,000 IDR is safe to pay, with affordability status affordable now, so the recommended payment method is full payment. The payment plan is 7,714,000 IDR on 2026-04-06, which is also the earliest date for full payment, while the minimum balance to keep is 20,050,300 IDR and no spending changes are needed."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"The requested amount is 633.60 USD, and 633.60 USD is safe to pay; the affordability status is affordable_now, so the recommended payment method is full_payment. The payment plan is 2024-03-03:633.60, the minimum balance to keep is 800 USD, no spending changes are needed, and the earliest date for full payment is 2024-03-03."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"You requested 20558000 IDR, which is also the amount safe to pay, and the affordability status is affordable_with_plan with installments recommended. The payment plan is 2025-08-05:7126773.33, 2025-09-02:7126773.33, and 2025-09-30:7126773.33; you should keep a minimum balance of 12588500 IDR and no spending changes are needed. The earliest date for full payment is 2025-08-05."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"The requested amount is 4076000 IDR, which is affordable now, equals the amount safe to pay, and has no spending changes needed. The recommended payment method is full payment, with a payment plan of 4076000 IDR on 2026-01-07, which is also the earliest date for full payment, while keeping a minimum balance of 18091200 IDR."
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-20,none,requested_amount=3104.20 EUR; amount_safe_to_pay=1406.49 EUR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12; minimum_balance_to_keep=1600 EUR; spending_changes_needed=none; earliest_date_for_full_payment=2024-07-20.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"The requested amount is 6468 ZAR, which is affordable now and is also the amount safe to pay. The recommended payment method is full payment, with a payment plan of 6468 ZAR on 2025-11-06, which is also the earliest date for full payment. You need to keep a minimum balance of 11300 ZAR, and no spending changes are needed."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"The requested amount is 159600 INR, which is also the amount safe to pay, and the affordability status is affordable now. A full payment is recommended, with a payment plan of 159600 INR on 2026-07-03, which is also the earliest date for full payment, while keeping a minimum balance of 129700 INR and needing no spending changes."
request_127,19993.32,affordable_later,wait,2024-10-07:23980,2024-10-07,none,"You requested 23980 ZAR, but only 19993.32 ZAR is safe to pay, making the affordability status affordable_later; since no spending changes are needed, the recommended payment method is to wait, with a payment plan of 2024-10-07:23980 and an earliest full-payment date of 2024-10-07, while maintaining a minimum balance of 41000 ZAR."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"The requested amount is 25,168 ZAR, and the amount safe to pay is also 25,168 ZAR; affordability status is affordable now, so full payment is recommended. The payment plan is to pay 25,168 ZAR on 2025-02-07, which is also the earliest date for full payment, while keeping a minimum balance of 42,600 ZAR, and no spending changes are needed."
request_129,110.47,not_affordable,not_recommended,none,,none,"The requested amount of 2668.80 USD is not_affordable, since only 110.47 USD is safe to pay, and the recommended payment method is not_recommended with no payment plan; the minimum balance to keep is 800 USD, and no spending changes are needed."
request_130,405.41,affordable_later,wait,2025-02-20:1978.80,2025-02-20,none,"You requested 1978.80 USD, but only 405.41 USD is safe to pay; the affordability status is affordable_later, so the recommended payment method is to wait. The payment plan is 2025-02-20:1978.80, you need to keep a minimum balance of 1400 USD, no spending changes are needed, and the earliest date for full payment is 2025-02-20."
request_131,1110.68,not_affordable,not_recommended,none,2025-07-26,none,requested_amount=1855.20 USD; amount_safe_to_pay=1110.68 USD; affordability_status=not_affordable; recommended_payment_method=not_recommended; payment_plan=none; minimum_balance_to_keep=1100 USD; spending_changes_needed=none; earliest_date_for_full_payment=2025-07-26.
request_132,0,not_affordable,not_recommended,none,,none,"The requested amount of 379.86 USD is not affordable, with 0 USD safe to pay, so the recommended payment method is not recommended and no payment plan is available. You must keep a minimum balance of 1100 USD, and no spending changes are needed."
request_133,15770000,affordable_with_plan,full_payment,2024-03-07:15770000,2024-03-07,reduce_to:event_12280:265050,requested_amount=15770000 IDR; amount_safe_to_pay=15770000 IDR; affordability_status=affordable_with_plan; recommended_payment_method=full_payment; payment_plan=2024-03-07:15770000; minimum_balance_to_keep=9986200 IDR; spending_changes_needed=reduce_to:event_12280:265050; earliest_date_for_full_payment=2024-03-07.
request_134,4469014.82,affordable_later,wait,2025-10-19:21831000,2025-10-19,none,"With a requested amount of 21831000 IDR, only 4469014.82 IDR is safe to pay, so the affordability status is affordable_later and the recommended payment method is wait; the payment plan is 2025-10-19:21831000, the minimum balance to keep is 15902500 IDR, spending changes needed are none, and the earliest date for full payment is 2025-10-19."
request_135,273.59,affordable_with_plan,installments,2026-07-20:54.86|2026-08-17:54.86|2026-09-14:54.86|2026-10-12:54.86|2026-11-09:54.86|2026-12-07:54.86,2026-07-21,reduce_to:event_12458:17.50,requested_amount=304.80 USD; amount_safe_to_pay=273.59 USD; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2026-07-20:54.86|2026-08-17:54.86|2026-09-14:54.86|2026-10-12:54.86|2026-11-09:54.86|2026-12-07:54.86; minimum_balance_to_keep=500 USD; spending_changes_needed=reduce_to:event_12458:17.50; earliest_date_for_full_payment=2026-07-21.
request_136,496.37,affordable_later,wait,2024-06-21:560.40,2024-06-21,none,"You requested 560.40 USD, and while 496.37 USD is safe to pay, the request is affordable later, so the recommended payment method is to wait. A payment plan of 560.40 USD on 2024-06-21 is available, which is also the earliest date for full payment, with a minimum balance to keep of 1100 USD and no spending changes needed."
request_137,24928.90,not_affordable,not_recommended,none,,none,"The requested amount is 80100 INR, but only 24928.90 INR is safe to pay, so the affordability status is not_affordable and the recommended payment method is not_recommended. There is no payment plan, the minimum balance to keep is 71800 INR, and no spending changes are needed."
request_138,1023.98,affordable_with_plan,partial_payment,2026-04-07:1023.98|2026-04-21:232.96,2026-04-21,none,"The requested amount is 1256.94 EUR, while the amount safe to pay is 1023.98 EUR and the minimum balance to keep is 2300 EUR. The affordability status is affordable_with_plan, with a recommended payment method of partial_payment through a payment plan of 1023.98 EUR on 2026-04-07 and 232.96 EUR on 2026-04-21, no spending changes needed, and the earliest date for full payment is 2026-04-21."
request_139,1827.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-18,none,requested_amount=2316 USD; amount_safe_to_pay=1827.31 USD; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88; minimum_balance_to_keep=1500 USD; spending_changes_needed=none; earliest_date_for_full_payment=2024-09-18.
request_140,0,not_affordable,not_recommended,none,,none,"The requested amount is 62832 ZAR, but the amount safe to pay is 0 ZAR, so the affordability status is not_affordable and the recommended payment method is not_recommended. There is no payment plan, the minimum balance to keep is 21600 ZAR, and no spending changes are needed."
request_141,23234.58,not_affordable,not_recommended,none,,none,"The requested amount of 171600 INR is not affordable because only 23234.58 INR is safe to pay, so the recommended payment method is not_recommended and there is no payment plan. You should keep a minimum balance of 67300 INR, and no spending changes are needed."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"The requested amount is 1263.60 USD and the amount safe to pay is also 1263.60 USD, so the affordability status is affordable now. The recommended payment method is full payment, with a payment plan on 2024-12-05 for 1263.60 and an earliest date for full payment of 2024-12-05, while keeping a minimum balance of 1700 USD and requiring no spending changes."
request_143,2383.22,affordable_later,wait,2025-07-20:12584,2025-07-20,none,"The requested amount is 12584 ZAR, but only 2383.22 ZAR is safe to pay, so the affordability status is affordable_later and the recommended payment method is wait. The payment plan is 2025-07-20:12584, with a minimum balance to keep of 11300 ZAR, no spending changes needed, and the earliest date for full payment is 2025-07-20."
request_144,0,not_affordable,not_recommended,none,,none,"The requested amount is 233.34 USD, but the amount safe to pay is 0 USD, so the affordability status is not affordable. The recommended payment method is not recommended, there is no payment plan, the minimum balance to keep is 600 USD, and no spending changes are needed."
request_145,105613.66,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-08,none,requested_amount=217400 INR; amount_safe_to_pay=105613.66 INR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33; minimum_balance_to_keep=155400 INR; spending_changes_needed=none; earliest_date_for_full_payment=2024-03-08.
request_146,11279.92,not_affordable,not_recommended,none,,none,"You requested 449400 INR, but it is not affordable; the amount safe to pay is 11279.92 INR and the recommended payment method is not recommended. There is no payment plan, you must keep a minimum balance of 108600 INR, and no spending changes are needed."
request_147,0,not_affordable,not_recommended,none,,none,"A requested amount of 1129.70 EUR is not affordable because the amount safe to pay is 0 EUR while a minimum balance of 900 EUR must be kept, so no payment method is recommended and there is no payment plan, with no spending changes needed."
request_148,7665.48,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-16,none,requested_amount=22242 ZAR; amount_safe_to_pay=7665.48 ZAR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56; minimum_balance_to_keep=20000 ZAR; spending_changes_needed=none; earliest_date_for_full_payment=2024-07-16.
request_149,21229.95,not_affordable,not_recommended,none,2026-01-18,none,requested_amount=36652 ZAR; amount_safe_to_pay=21229.95 ZAR; affordability_status=not_affordable; recommended_payment_method=not_recommended; payment_plan=none; minimum_balance_to_keep=42100 ZAR; spending_changes_needed=none; earliest_date_for_full_payment=2026-01-18.
request_150,0,not_affordable,not_recommended,none,,none,"The requested amount is 496.10 EUR, but the amount safe to pay is 0 EUR, so the affordability status is not affordable. The recommended payment method is not recommended, the payment plan is none, the minimum balance to keep is 700 EUR, and no spending changes are needed."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"The requested amount is 26,999,000 IDR, and 26,999,000 IDR is safe to pay, so the affordability status is affordable now and full payment is recommended. The payment plan is to pay 26,999,000 IDR on 2024-09-03, which is also the earliest date for full payment, while keeping a minimum balance of 31,633,600 IDR, and no spending changes are needed."
request_152,11857.81,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-20,reduce_to:event_14024:234.30|stop:event_13958|stop:event_13957,requested_amount=13882 ZAR; amount_safe_to_pay=11857.81 ZAR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43; minimum_balance_to_keep=11900 ZAR; spending_changes_needed=reduce_to:event_14024:234.30|stop:event_13958|stop:event_13957; earliest_date_for_full_payment=2025-04-20.
request_153,12.42,not_affordable,not_recommended,none,,none,"The requested amount is 2830.80 USD, but only 12.42 USD is safe to pay, so the affordability status is not_affordable. The recommended payment method is not_recommended, there is no payment plan, the minimum balance to keep is 1400 USD, and no spending changes are needed."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"The requested amount is 1625.80 EUR, which is also the amount safe to pay, and the affordability status is affordable_with_plan, with installments recommended. The payment plan is 563.61 EUR on 2024-12-04, 563.61 EUR on 2025-01-04, and 563.61 EUR on 2025-02-04; the minimum balance to keep is 1300 EUR, no spending changes are needed, and the earliest date for full payment is 2024-12-04."
request_155,78433.31,not_affordable,not_recommended,none,,none,"You requested 112500 INR, but the amount safe to pay is 78433.31 INR, so the affordability status is not_affordable; the recommended payment method is not_recommended, the payment plan is none, you should keep a minimum balance of 56300 INR, and spending changes needed is none."
request_156,9334.86,affordable_later,wait,2026-06-14:43076,2026-06-14,none,"The requested amount is 43076 ZAR, but only 9334.86 ZAR is safe to pay now; the affordability status is affordable_later, so the recommended payment method is to wait. The payment plan is 43076 ZAR on 2026-06-14, which is also the earliest date for full payment, and you should keep a minimum balance of 26900 ZAR with no spending changes needed."
request_157,4352610.76,affordable_later,wait,2024-05-19:23503000,2024-05-19,none,"The requested amount is 23,503,000 IDR, but only 4,352,610.76 IDR is safe to pay, so the affordability status is affordable later and the recommended payment method is to wait; the payment plan is 23,503,000 IDR on 2024-05-19, which is also the earliest date for full payment, while keeping a minimum balance of 15,714,100 IDR and with no spending changes needed."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"The requested amount of 242600 INR is also the amount safe to pay, and the affordability status is affordable_with_plan. The recommended payment method is installments, with a payment plan of 2025-08-07:84101.33, 2025-09-04:84101.33, and 2025-10-02:84101.33; the minimum balance to keep is 131400 INR, no spending changes are needed, and the earliest date for full payment is 2025-08-07."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"The requested amount of 13398 ZAR is affordable now, and 13398 ZAR is safe to pay, so full payment is recommended; the payment plan is 13398 ZAR on 2026-01-04, which is also the earliest date for full payment, while keeping a minimum balance of 8700 ZAR and with no spending changes needed."
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-22,none,requested_amount=1246.30 EUR; amount_safe_to_pay=574.47 EUR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05; minimum_balance_to_keep=1200 EUR; spending_changes_needed=none; earliest_date_for_full_payment=2024-07-22.
request_161,0,not_affordable,not_recommended,none,,none,"The requested amount is 21204000 IDR, but the amount safe to pay is 0 IDR, so the affordability status is not affordable; the recommended payment method is not recommended and the payment plan is none. The minimum balance to keep is 23010400 IDR, and no spending changes are needed."
request_162,1159061.72,not_affordable,not_recommended,none,,none,"Although the requested amount is 83,923,000 IDR, only 1,159,061.72 IDR is safe to pay, making it not affordable; the recommended payment method is not recommended, there is no payment plan, the minimum balance to keep is 24,161,100 IDR, and no spending changes are needed."
request_163,19304000,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-07,none,requested_amount=19304000 IDR; amount_safe_to_pay=19304000 IDR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33; minimum_balance_to_keep=26728700 IDR; spending_changes_needed=none; earliest_date_for_full_payment=2024-09-07.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"The requested amount is 27018000 IDR and the amount safe to pay is 27018000 IDR, with an affordability status of affordable_with_plan; the recommended payment method is installments using the payment plan 2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240, while keeping a minimum balance of 29550500 IDR, and with no spending changes needed, the earliest date for full payment is 2025-02-04."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"The requested amount is 80600 INR and 80600 INR is safe to pay, so it is affordable now; the recommended payment method is full payment, with a plan to pay 80600 INR on 2026-04-06, which is also the earliest date for full payment, while keeping a minimum balance of 95000 INR and needing no spending changes."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"The requested amount of 2907.60 USD is safe to pay because it is affordable with a plan; using installments, payments of 1007.97 USD are scheduled for 2024-12-03, 2025-01-03, and 2025-02-03, while keeping a minimum balance of 1700 USD, no spending changes are needed, and the earliest date for full payment is 2024-12-03."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"The requested amount is 43802 ZAR and the amount safe to pay is also 43802 ZAR; it is affordable now, so full payment is recommended, with a payment plan of 43802 ZAR on 2025-05-05 (also the earliest date for full payment), while keeping a minimum balance of 31200 ZAR and with no spending changes needed."
request_168,0,not_affordable,not_recommended,none,,none,"The requested amount is 49380 INR, but the amount safe to pay is 0 INR, so the affordability status is not_affordable. The recommended payment method is not_recommended, the payment plan is none, the minimum balance to keep is 114400 INR, and spending changes needed are none."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"The requested amount is 41976 ZAR, and 41976 ZAR is safe to pay, with affordability status affordable_now and recommended payment method full_payment. The payment plan is 2024-03-04:41976, the minimum balance to keep is 18700 ZAR, no spending changes are needed, and the earliest date for full payment is 2024-03-04."
request_170,31526595.98,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-16,none,requested_amount=36936000 IDR; amount_safe_to_pay=31526595.98 IDR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480; minimum_balance_to_keep=24715800 IDR; spending_changes_needed=none; earliest_date_for_full_payment=2025-09-16.
request_171,30.56,not_affordable,not_recommended,none,,none,"The requested amount is 1878.80 EUR, but only 30.56 EUR is safe to pay, so the request is not affordable. No payment plan is available, the payment method is not recommended, a minimum balance of 500 EUR must be kept, and no spending changes are needed."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"The requested amount is 10200 ZAR, and 10200 ZAR is safe to pay, so the affordability status is affordable_with_plan; the recommended payment method is installments through a payment plan of 5304 ZAR on 2024-06-05 and 5304 ZAR on 2024-07-03, with no spending changes needed, a minimum balance to keep of 27200 ZAR, and the earliest date for full payment being 2024-06-05."
request_173,62357.88,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15946:2105,requested_amount=113000 INR; amount_safe_to_pay=62357.88 INR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33; minimum_balance_to_keep=79100 INR; spending_changes_needed=reduce_to:event_15946:2105.
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"The requested amount of 1146.20 EUR is safe to pay because it is affordable with a plan, so installments are recommended: 397.35 EUR on 2026-04-04, 397.35 EUR on 2026-05-04, and 397.35 EUR on 2026-06-03, while keeping a minimum balance of 700 EUR and with no spending changes needed; the earliest date for full payment is 2026-04-04."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"The requested amount of 2346.30 EUR is affordable now, and 2346.30 EUR is safe to pay, so full payment is recommended on 2024-09-06, the earliest date for full payment; the payment plan is 2024-09-06:2346.30, you should keep a minimum balance of 1700 EUR, and no spending changes are needed."
request_176,686.95,affordable_later,wait,2025-03-06:1239.70,2025-03-06,none,"The requested amount is 1239.70 EUR, but only 686.95 EUR is safe to pay, so the affordability status is affordable_later and the recommended payment method is to wait, with the payment plan set for 2025-03-06:1239.70 and the earliest date for full payment being 2025-03-06; the minimum balance to keep is 600 EUR, and no spending changes are needed."
request_177,0,not_affordable,not_recommended,none,,none,"The requested amount of 1017.60 USD is not affordable, as the amount safe to pay is 0 USD and the minimum balance to keep is 1300 USD; no payment method is recommended, no payment plan is available, and no spending changes are needed."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"The requested amount is 2938.10 EUR, and the amount safe to pay is also 2938.10 EUR, with an affordability status of affordable_with_plan. The recommended payment method is installments, with a payment plan of 1018.54 EUR on 2024-12-07, 1018.54 EUR on 2025-01-07, and 1018.54 EUR on 2025-02-07, while keeping a minimum balance of 1400 EUR. No spending changes are needed, and the earliest date for full payment is 2024-12-07."
request_179,6458243.33,affordable_later,wait,2025-07-20:41648000,2025-07-20,none,"You requested 41648000 IDR, the amount safe to pay is 6458243.33 IDR, the affordability status is affordable_later, and the recommended payment method is wait. The payment plan is 2025-07-20:41648000, the minimum balance to keep is 41430800 IDR, spending changes needed are none, and the earliest date for full payment is 2025-07-20."
request_180,0,not_affordable,not_recommended,none,,none,"The requested amount is 66,500 INR, but the amount safe to pay is 0 INR, so the affordability status is not affordable; the recommended payment method is not recommended, the payment plan is none, and while the minimum balance to keep is 37,300 INR, no spending changes are needed."
request_181,460.86,not_affordable,not_recommended,none,,none,"A request for 5059.20 USD is not affordable, since only 460.86 USD is safe to pay; no payment method is recommended, there is no payment plan, a minimum balance of 2000 USD must be kept, and no spending changes are needed."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"The requested amount is 65714 ZAR, and 65714 ZAR is safe to pay, so the affordability status is affordable_now and full_payment is recommended. The payment plan is 2025-08-05:65714, the earliest date for full payment is 2025-08-05, the minimum balance to keep is 31100 ZAR, and no spending changes are needed."
request_183,23107211.77,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,requested_amount=26866000 IDR; amount_safe_to_pay=23107211.77 IDR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67; minimum_balance_to_keep=11878300 IDR; spending_changes_needed=none; earliest_date_for_full_payment=2026-05-15.
request_184,9316.10,not_affordable,not_recommended,none,,none,"You requested 251900 INR, but the amount safe to pay is 9316.10 INR; since this is not affordable, the payment method is not recommended, there is no payment plan, you should keep a minimum balance of 110800 INR, and no spending changes are needed."
request_185,408.50,affordable_later,wait,2026-01-14:1257.30,2026-01-14,none,"Although 1257.30 EUR was requested, only 408.50 EUR is safe to pay, so the affordability status is affordable_later and the recommended payment method is wait. A payment plan of 1257.30 EUR on 2026-01-14, which is also the earliest date for full payment, would require keeping a minimum balance of 1300 EUR, and no spending changes are needed."
request_186,0,not_affordable,not_recommended,none,,none,"The requested amount is 26554 ZAR, but the amount safe to pay is 0 ZAR, so affordability status is not_affordable and the recommended payment method is not_recommended; the payment plan is none, the minimum balance to keep is 22000 ZAR, and spending changes needed are none."
request_187,38384.36,affordable_later,wait,2024-11-18:187500,2024-11-18,none,"You requested 187500 INR, but the amount safe to pay is 38384.36 INR, so the affordability status is affordable later and the recommended payment method is wait. The payment plan is 2024-11-18:187500, the minimum balance to keep is 128300 INR, no spending changes are needed, and the earliest date for full payment is 2024-11-18."
request_188,106.30,not_affordable,not_recommended,none,,none,"You requested 2464 EUR, but only 106.30 EUR is safe to pay, so the affordability status is not affordable; the recommended payment method is not recommended, there is no payment plan, the minimum balance to keep is 900 EUR, and no spending changes are needed."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,"The requested amount of 488.40 EUR is safe to pay and is affordable now, so the recommended payment method is full payment. The payment plan is 488.40 EUR on 2026-07-04, which is the earliest date for full payment, while keeping a minimum balance of 400 EUR, and no spending changes are needed."
request_190,418.90,affordable_later,wait,2025-01-08:2557.50,2025-01-08,none,"The requested amount is 2557.50 EUR, but only 418.90 EUR is safe to pay, and the affordability status is affordable later, so the recommended payment method is to wait. The payment plan is 2557.50 EUR on 2025-01-08, with no spending changes needed, a minimum balance to keep of 1600 EUR, and the earliest date for full payment is 2025-01-08."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,"The requested amount of 664.40 EUR is safe to pay and affordable now, so the recommended payment method is full payment, with a payment plan of 664.40 EUR on 2025-05-03 and the earliest date for full payment also being 2025-05-03. No spending changes are needed, and a minimum balance of 500 EUR should be kept."
request_192,245.70,affordable_later,wait,2026-06-16:2046,2026-06-16,none,"The requested amount is 2046 USD, but only 245.70 USD is safe to pay, so the affordability status is affordable later and the recommended payment method is to wait. The payment plan is 2046 USD on 2026-06-16, with a minimum balance to keep of 1000 USD, no spending changes needed, and the earliest date for full payment is also 2026-06-16."
request_193,23.01,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-21,none,"The requested amount of 1212.20 EUR has an affordability status of affordable_with_plan, with 23.01 EUR safe to pay and installments as the recommended payment method via a payment plan of 420.23 EUR on 2024-03-21, 420.23 EUR on 2024-04-21, and 420.23 EUR on 2024-05-22, while keeping a minimum balance of 1000 EUR, requiring no spending changes and with the earliest date for full payment being 2024-05-21."
request_194,34703.75,affordable_later,wait,2025-10-26:132800,2025-10-26,none,"The requested amount is 132800 INR, but only 34703.75 INR is safe to pay, so the affordability status is affordable_later and the recommended payment method is wait. The payment plan is 132800 INR on 2025-10-26, which is also the earliest date for full payment, while keeping a minimum balance of 113600 INR and with spending changes needed: none."
